city,loc,pop,state,zip
MENDON,"[-71.549882, 42.096744]",4010,MA,1756
MILFORD,"[-71.527402, 42.151142]",25372,MA,1757
NATICK,"[-71.35741, 42.287476]",30432,MA,1760
SHERBORN,"[-71.378717, 42.233088]",3998,MA,1770
SOUTHBOROUGH,"[-71.531997, 42.293919]",6122,MA,1772
LINCOLN,"[-71.313723, 42.421723]",4515,MA,1773
STOW,"[-71.515019, 42.430785]",5328,MA,1775
SUDBURY,"[-71.428159, 42.383655]",14358,MA,1776
WAYLAND,"[-71.358781, 42.348629]",11874,MA,1778
WOBURN,"[-71.157404, 42.482894]",36152,MA,1801
BURLINGTON,"[-71.200437, 42.508942]",23093,MA,1803
ANDOVER,"[-71.156481, 42.64956]",29161,MA,1810
BILLERICA,"[-71.251754, 42.551874]",28899,MA,1821
SOUTH CHELMSFORD,"[-71.357521, 42.59356]",24457,MA,1824
DRACUT,"[-71.318592, 42.676422]",25594,MA,1826
DUNSTABLE,"[-71.495201, 42.673917]",2166,MA,1827
HAVERHILL,"[-71.072057, 42.785605]",22445,MA,1830
HAVERHILL,"[-71.109519, 42.779154]",16860,MA,1832
GEORGETOWN,"[-70.982239, 42.728067]",6384,MA,1833
GROVELAND,"[-71.027018, 42.753027]",5214,MA,1834
BRADFORD,"[-71.08549, 42.758597]",12078,MA,1835
LAWRENCE,"[-71.16381, 42.707958]",2728,MA,1840
LAWRENCE,"[-71.166997, 42.711545]",45555,MA,1841
LAWRENCE,"[-71.160506, 42.691053]",22285,MA,1843
METHUEN,"[-71.181031, 42.728019]",39664,MA,1844
NORTH ANDOVER,"[-71.109004, 42.682583]",22792,MA,1845
LOWELL,"[-71.305078, 42.656035]",15434,MA,1850
LOWELL,"[-71.332882, 42.631548]",28154,MA,1851
LOWELL,"[-71.298331, 42.634413]",33379,MA,1852
LOWELL,"[-71.335464, 42.649254]",26472,MA,1854
MERRIMAC,"[-71.004658, 42.834629]",5196,MA,1860
NORTH BILLERICA,"[-71.290217, 42.575694]",8720,MA,1862
NORTH CHELMSFORD,"[-71.390834, 42.634737]",7878,MA,1863
NORTH READING,"[-71.094711, 42.581898]",12002,MA,1864
READING,"[-71.109021, 42.527986]",22539,MA,1867
TEWKSBURY,"[-71.223224, 42.60283]",27269,MA,1876
TYNGSBORO,"[-71.415766, 42.672382999999996]",8643,MA,1879
WAKEFIELD,"[-71.068471, 42.500886]",24830,MA,1880
GRANITEVILLE,"[-71.438143, 42.589959]",16430,MA,1886
WILMINGTON,"[-71.172306, 42.558143]",17647,MA,1887
WINCHESTER,"[-71.14407, 42.453028]",20232,MA,1890
LYNN,"[-70.945516, 42.463378]",1187,MA,1901
LYNN,"[-70.941989, 42.469814]",41625,MA,1902
EAST LYNN,"[-70.962798, 42.487453]",17073,MA,1904
WEST LYNN,"[-70.973825, 42.46453]",21360,MA,1905
SAUGUS,"[-71.011093, 42.463344]",25487,MA,1906
SWAMPSCOTT,"[-70.909774, 42.474611]",13650,MA,1907
NAHANT,"[-70.927739, 42.426098]",3828,MA,1908
AMESBURY,"[-70.936681, 42.855879]",14970,MA,1913
BEVERLY,"[-70.875939, 42.560825]",38259,MA,1915
BOXFORD,"[-71.011372, 42.679719]",6249,MA,1921
BYFIELD,"[-70.935053, 42.756792]",2006,MA,1922
DANVERS,"[-70.942461, 42.569402]",23977,MA,1923
ESSEX,"[-70.782794, 42.628629]",3260,MA,1929
GLOUCESTER,"[-70.672149, 42.620836]",28716,MA,1930
IPSWICH,"[-70.849353, 42.680877]",11864,MA,1938
LYNNFIELD,"[-71.033873, 42.532711]",11274,MA,1940
MANCHESTER,"[-70.767434, 42.57963]",5286,MA,1944
MARBLEHEAD,"[-70.865291, 42.498431]",19971,MA,1945
MIDDLETON,"[-71.013004, 42.594184]",4921,MA,1949
NEWBURYPORT,"[-70.884668, 42.812964]",16317,MA,1950
NEWBURY,"[-70.847377, 42.783475]",3710,MA,1951
SALISBURY,"[-70.858822, 42.850678]",6879,MA,1952
PEABODY,"[-70.961194, 42.532579]",47685,MA,1960
ROCKPORT,"[-70.619424, 42.657973]",7482,MA,1966
ROWLEY,"[-70.90696, 42.713753]",4368,MA,1969
SALEM,"[-70.900343, 42.515114]",37642,MA,1970
SOUTH HAMILTON,"[-70.856132, 42.618478]",7288,MA,1982
TOPSFIELD,"[-70.948843, 42.641546]",5763,MA,1983
WENHAM,"[-70.878622, 42.60166]",4148,MA,1984
WEST NEWBURY,"[-70.977811, 42.794865]",3421,MA,1985
BELLINGHAM,"[-71.476829, 42.074573]",14873,MA,2019
CANTON,"[-71.135536, 42.164454]",18530,MA,2021
COHASSET,"[-70.812788, 42.239484]",7075,MA,2025
DEDHAM,"[-71.163741, 42.243685]",23782,MA,2026
DOVER,"[-71.285363, 42.236233]",4915,MA,2030
EAST WALPOLE,"[-71.2179, 42.15324]",3844,MA,2032
FOXBORO,"[-71.244127, 42.064938]",14293,MA,2035
FRANKLIN,"[-71.405786, 42.09347]",22128,MA,2038
HINGHAM,"[-70.891051, 42.224485]",19821,MA,2043
HULL,"[-70.875442, 42.285346]",10466,MA,2045
MANSFIELD,"[-71.217775, 42.021238]",16676,MA,2048
MARSHFIELD,"[-70.69931, 42.106177]",21782,MA,2050
MEDFIELD,"[-71.304813, 42.184525]",10531,MA,2052
MEDWAY,"[-71.421715, 42.151363]",9902,MA,2053
MILLIS,"[-71.360693, 42.166938]",7613,MA,2054
NORFOLK,"[-71.326934, 42.117746]",9259,MA,2056
NORWELL,"[-70.82172, 42.159574]",9279,MA,2061
NORWOOD,"[-71.203313, 42.186843]",28700,MA,2062
SCITUATE,"[-70.752476, 42.203235]",16535,MA,2066
SHARON,"[-71.175872, 42.109388]",15873,MA,2067
SOUTH WALPOLE,"[-71.275235, 42.099203]",752,MA,2071
STOUGHTON,"[-71.107357, 42.125279]",26777,MA,2072
WALPOLE,"[-71.254391, 42.144413]",15615,MA,2081
WESTWOOD,"[-71.210426, 42.214824]",12557,MA,2090
WRENTHAM,"[-71.339568, 42.061746]",9006,MA,2093
BOSTON,"[-71.068432, 42.357603]",3697,MA,2108
BOSTON,"[-71.053386, 42.362963]",3926,MA,2109
BOSTON,"[-71.051417, 42.357636]",957,MA,2110
BOSTON,"[-71.0629, 42.350348]",3759,MA,2111
BOSTON,"[-71.055958, 42.365656]",6698,MA,2113
BOSTON,"[-71.06823, 42.361111]",10246,MA,2114
BOSTON,"[-71.092215, 42.342706]",25597,MA,2115
BOSTON,"[-71.076798, 42.349201]",17459,MA,2116
ROXBURY,"[-71.075627, 42.340154]",21914,MA,2118
ROXBURY,"[-71.086923, 42.322414]",25207,MA,2119
ROXBURY,"[-71.097978, 42.332844]",14212,MA,2120
DORCHESTER,"[-71.08305, 42.307503]",25602,MA,2121
DORCHESTER,"[-71.058304, 42.297278]",21266,MA,2122
DORCHESTER,"[-71.072898, 42.287984]",48560,MA,2124
DORCHESTER,"[-71.061924, 42.315305]",31393,MA,2125
MATTAPAN,"[-71.093871, 42.273889]",27808,MA,2126
SOUTH BOSTON,"[-71.043792, 42.333454]",29170,MA,2127
EAST BOSTON,"[-71.028682, 42.378137]",32941,MA,2128
CHARLESTOWN,"[-71.062715, 42.377815]",14775,MA,2129
JAMAICA PLAIN,"[-71.111495, 42.312596]",36571,MA,2130
ROSLINDALE,"[-71.129543, 42.283615]",32677,MA,2131
WEST ROXBURY,"[-71.158868, 42.27868]",26366,MA,2132
ALLSTON,"[-71.132866, 42.353519]",23775,MA,2134
BRIGHTON,"[-71.156599, 42.34779]",35011,MA,2135
HYDE PARK,"[-71.126052, 42.253989]",24260,MA,2136
CAMBRIDGE,"[-71.125611, 42.377045]",33841,MA,2138
CAMBRIDGE,"[-71.104155, 42.364688]",33149,MA,2139
NORTH CAMBRIDGE,"[-71.129379, 42.391366]",16313,MA,2140
EAST CAMBRIDGE,"[-71.088277, 42.370701]",10392,MA,2141
CAMBRIDGE,"[-71.083011, 42.362025]",1336,MA,2142
SOMERVILLE,"[-71.102814, 42.382945]",25597,MA,2143
SOMERVILLE,"[-71.122059, 42.40032]",26374,MA,2144
SOMERVILLE,"[-71.092944, 42.390678]",24422,MA,2145
BROOKLINE,"[-71.128917, 42.339158]",56614,MA,2146
MALDEN,"[-71.060507, 42.42911]",54114,MA,2148
EVERETT,"[-71.051448, 42.411199]",35493,MA,2149
CHELSEA,"[-71.032521, 42.396252]",28790,MA,2150
REVERE,"[-71.005165, 42.413767]",42766,MA,2151
WINTHROP,"[-70.980043, 42.376294]",18907,MA,2152
NORTH WALTHAM,"[-71.236497, 42.382492]",57871,MA,2154
MEDFORD,"[-71.108686, 42.417335]",57338,MA,2155
NEWTONVILLE,"[-71.1902, 42.353835]",13271,MA,2158
